Time from SNAP Addition (min)	Abs Val R1S1 Peak Amp Normalized to Baseline (pA)	Trace Numbers Used in Average	Color Code
-10	111.0740247328165	14 15 16 17	grey
-9	89.01464358935152	18 19 20	grey
-8	53.311508056976756	21 22 23	grey
-7	151.2276383983988	24 25 26	grey
-6	93.17690971534904	27 28 29	grey
-5	91.67633799157653	30 31 32	grey
-4	101.17658706887704	33 34 35	grey
-3	108.02958145538902	36 37 38	grey
-2	84.80465691967613	39 40 41	grey
-1	112.81677049398324	42 43 44	grey
0	116.67008856940629	45 46 47	red
1	107.57391975920308	48 49 50	red
2	105.22897239608243	51 52 53	red
3	113.94190972040683	54 55 56	red
4	99.7429630981283	57 58 59	red
5	112.50998453923881	60 61 62	blue
6	100.78347171634648	63 64 65	blue
7	109.61941684985992	66 67 68	blue
8	105.57004301327498	69 70 71	blue
9	112.25547497295702	72 73 74	blue
10	127.3306109303689	75 76 77	grey
11	103.74044663479167	78 79 80	grey
12	102.35284441813998	81 82 83	grey
13	115.57915678772265	84 85 86	grey
14	119.5194992203058	87 88 89	grey
15	111.16168613606936	90 91 92	grey
16	127.24219665446094	93 94 95	grey
17	109.06213664966094	96 97 98	grey
18	111.31558102854498	99 100	grey
