Trace	Trace Start (ms)	Trace Start (minutes)	R1S1 Peak Amp (pA)	Abs Val R1S1 Peak Amp (pA)	Normalized to Baseline (431.6799)	Time From SNAP Addition	Color Code	Z-score
1	0	0.0	-393.415	393.415	91.13581403406059	-15.0	grey	-0.44960187514925387
2	20000	0.3333333333333333	-229.414	229.414	53.1444699383856	-14.666666666666666	grey	-1.7722675291326775
3	40000	0.6666666666666666	-538.694	538.694	124.79014833004389	-14.333333333333334	grey	0.7220711240706148
4	60000	1.0	-267.09	267.09	61.872233062687584	-14.0	grey	-1.4684111430162547
5	80000	1.3333333333333333	-547.242	547.242	126.77031923954951	-13.666666666666666	grey	0.7910106184044927
6	100000	1.6666666666666667	-223.322	223.322	51.73323910301965	-13.333333333333334	grey	-1.8213994195727785
7	120000	2.0	-552.886	552.886	128.07776947507242	-13.0	grey	0.8365293954307453
8	140000	2.3333333333333335	-272.777	272.777	63.18964438257041	-12.666666666666666	grey	-1.4225455716221551
9	160000	2.6666666666666665	-590.358	590.358	136.75827536194583	-12.333333333333334	grey	1.138740524546219
10	180000	3.0	5.18952	5.18952	1.202168523432096	-12.0	grey	-3.580634663956813
11	200000	3.3333333333333335	-465.441	465.441	107.82086199007965	-11.666666666666666	grey	0.13128675597988554
12	220000	3.6666666666666665	27.9082	27.9082	6.465021733348676	-11.333333333333334	grey	-3.3974088437493744
13	240000	4.0	-560.068	560.068	129.74150221630654	-11.0	grey	0.8944521198465047
14	260000	4.333333333333333	-264.53	264.53	61.27920106358435	-10.666666666666668	grey	-1.4890575053811037
15	280000	4.666666666666667	-641.378	641.378	148.5772177815734	-10.333333333333332	grey	1.550216074489417
16	300000	5.0	-420.121	420.121	97.32234238095538	-10.0	grey	-0.2342183777603279
17	320000	5.333333333333333	-591.908	591.908	137.1173377051529	-9.666666666666668	grey	1.1512412517593116
18	340000	5.666666666666667	-353.992	353.992	82.00335290099558	-9.333333333333332	grey	-0.7675477905826262
19	360000	6.0	-490.141	490.141	113.54269416892717	-9.0	grey	0.3304918928594815
20	380000	6.333333333333333	-308.642	308.642	71.4978836981318	-8.666666666666668	grey	-1.133294873881803
21	400000	6.666666666666667	-378.111	378.111	87.5905946144216	-8.333333333333332	grey	-0.5730284101616158
22	420000	7.0	8.43221	8.43221	1.953347794202422	-8.0	grey	-3.5544824167783475
23	440000	7.333333333333333	-303.862	303.862	70.39058176230625	-7.666666666666667	grey	-1.171845503609919
24	460000	7.666666666666667	-378.368	378.368	87.65012946745658	-7.333333333333333	grey	-0.570955708939832
25	480000	8.0	-744.66	744.66	172.5028158016434	-7.0	grey	2.3831838861168815
26	500000	8.333333333333334	-835.43	835.43	193.5299699260964	-6.666666666666666	grey	3.1152426016861483
27	520000	8.666666666666666	-410.626	410.626	95.1227959624065	-6.333333333333334	grey	-0.3107954131721401
28	540000	9.0	-369.924	369.924	85.69405048291453	-6.0	grey	-0.639056444802638
29	560000	9.333333333333334	-426.128	426.128	98.7138827007261	-5.666666666666666	grey	-0.18577201107062213
30	580000	9.666666666666666	-332.767	332.767	77.08651533030574	-5.333333333333334	grey	-0.9387271035489996
31	600000	10.0	-369.775	369.775	85.65953416734173	-5.0	grey	-0.6402581276121546
32	620000	10.333333333333334	-484.703	484.703	112.2829644770821	-4.666666666666666	grey	0.28663450280477504
33	640000	10.666666666666666	-414.061	414.061	95.91852444557821	-4.333333333333334	grey	-0.2830921886708684
34	660000	11.0	-405.98	405.98	94.04653554528402	-4.0	grey	-0.34826533487022077
35	680000	11.333333333333334	-490.236	490.236	113.56470121576889	-3.666666666666666	grey	0.3312580664628643
36	700000	11.666666666666666	-493.701	493.701	114.3673792926801	-3.333333333333334	grey	0.3592032405230993
37	720000	12.0	-431.89	431.89	100.04866800495766	-3.0	grey	-0.13930156577911487
38	740000	12.333333333333334	-473.435	473.435	109.67269706852933	-2.666666666666666	grey	0.19575824845824558
39	760000	12.666666666666666	-403.454	403.454	93.46137975241888	-2.333333333333334	grey	-0.36863748773491145
40	780000	13.0	-377.96	377.96	87.5556149925995	-2.0	grey	-0.5742462229417299
41	800000	13.333333333333334	-316.84	316.84	73.39697601401002	-1.666666666666666	grey	-1.0671781244024945
42	820000	13.666666666666666	-467.609	467.609	108.32308596432019	-1.333333333333334	grey	0.1487716441076169
43	840000	14.0	-424.542	424.542	98.34648084503168	-1.0	grey	-0.19856307775446996
44	860000	14.333333333333334	-568.871	568.871	131.78074467259782	-0.6666666666666661	grey	0.9654481854315687
